textbox22
generated on 30/09/2020 10:02:14 UTC

HEMISPHERELONG,CONTINENT,WHOREGION,FLULONG,Country,Year,Week,SDATE,EDATE,AGEGROUP_CODE,ILI_CASES,ILI_OUTPATIENTS,ILI_POP_COV,ILI_OUT_RATE,ILI_POP_RATE,ILI_SAMPLED,ILI_INF_POS,ILI_INF_NEG,ILI_COVID19_TESTED,ILI_COVID19_POS,ILI_COVID19_NEG,ILI_COVID19_RATIO,SARI_CASES,SARI_INPATIENTS,SARI_POP_COV,SARI_IN_RATE,SARI_POP_RATE,SARI_SAMPLED,SARI_INF_POS,SARI_INF_NEG,SARI_COVID19_TESTED,SARI_COVID19_POS,SARI_COVID19_NEG,SARI_COVID19_RATIO,ARI_CASES,ARI_OUTPATIENTS,ARI_POP_COV,ARI_OUT_RATE,ARI_POP_RATE,PNEU_CASES,PNEU_INPATIENTS,PNEU_POP_COV,PNEU_IN_RATE,PNEU_POP_RATE,GEOSPREAD,INTENSITY,TREND,IMPACT
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,19,2019-05-06,2019-05-12,All,247,,2087742,,11.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,19,2019-05-06,2019-05-12,All,0,,175109,,0.00,,,,,,,,121,1374,0,8.81,,12,,,,,,,2363,,2986151,,79.13,,,,,,1,,1,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,19,2019-05-06,2019-05-12,All,3,,264341,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,19,2019-05-06,2019-05-12,All,32,,124888,,25.62,,,,,,,,,,,,,,,,,,,,3378,,1415307,,238.68,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,19,2019-05-06,2019-05-12,All,10,,166323,,6.01,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,19,2019-05-06,2019-05-12,All,326,,177577,,183.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,19,2019-05-06,2019-05-12,All,,,,,,,,,,,,,,,,,,,,,,,,,7922,,1039763,,761.90,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,19,2019-05-06,2019-05-12,All,26,,62020,,41.92,,,,,,,,33,446,,7.40,,11,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,19,2019-05-06,2019-05-12,All,869,,4162871,,20.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,19,2019-05-06,2019-05-12,All,1390,,1041819,,133.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,18,2019-04-29,2019-05-05,All,,,,,,,,,,,,,,,,,,,,,,,,,7055,,1109276,,636.00,,,,,,2,,1,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,18,2019-04-29,2019-05-05,All,4,,247980,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,18,2019-04-29,2019-05-05,All,31,,136795,,22.66,,,,,,,,,,,,,,,,,,,,3300,,1403739,,235.09,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,18,2019-04-29,2019-05-05,All,5,,152882,,3.27,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,1,1,0
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,18,2019-04-29,2019-05-05,All,332,,153536,,216.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,18,2019-04-29,2019-05-05,All,1142,,1052977,,108.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,18,2019-04-29,2019-05-05,All,1,,175629,,0.57,,,,,,,,119,1091,0,10.91,,12,,,,,,,2636,,2986151,,88.27,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,18,2019-04-29,2019-05-05,All,5,,88803,,5.63,,,,,,,,,,,,,,,,,,,,784,,88803,,882.85,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,18,2019-04-29,2019-05-05,All,59,,33855,,174.27,,,,,,,,55,439,,12.53,,4,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,18,2019-04-29,2019-05-05,All,171,,2089062,,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,18,2019-04-29,2019-05-05,All,822,,4974879,,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,17,2019-04-22,2019-04-28,All,0,,175629,,0.00,,,,,,,,75,811,0,9.25,,19,,,,,,,2691,,2986151,,90.12,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,17,2019-04-22,2019-04-28,All,171,,111311,,153.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,17,2019-04-22,2019-04-28,All,1632,,1030677,,158.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,17,2019-04-22,2019-04-28,All,5,,89484,,5.59,,,,,,,,,,,,,,,,,,,,733,,89484,,819.14,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,17,2019-04-22,2019-04-28,All,,,,,,,,,,,,,,,,,,,,,,,,,6771,,1026060,,659.90,,,,,,2,,1,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,17,2019-04-22,2019-04-28,All,41,,62020,,66.11,,,,,,,,28,194,,14.43,,17,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,17,2019-04-22,2019-04-28,All,252,,2089062,,12.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,17,2019-04-22,2019-04-28,All,1162,,5126663,,22.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,17,2019-04-22,2019-04-28,All,7,,181443,,3.86,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,1,1,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,17,2019-04-22,2019-04-28,All,6,,248636,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,17,2019-04-22,2019-04-28,All,21,,126287,,16.63,,,,,,,,,,,,,,,,,,,,3458,,1410873,,245.10,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,16,2019-04-15,2019-04-21,All,0,,175109,,0.00,,,,,,,,89,900,0,9.89,,19,,,,,,,2728,,2986151,,91.36,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,16,2019-04-15,2019-04-21,All,8,,67099,,11.92,,,,,,,,,,,,,,,,,,,,705,,67099,,1050.69,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,16,2019-04-15,2019-04-21,All,214,,2087367,,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,16,2019-04-15,2019-04-21,All,33,,137931,,23.93,,,,,,,,,,,,,,,,,,,,4041,,1387960,,291.15,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,16,2019-04-15,2019-04-21,All,,,,,,,,,,,,,,,,,,,,,,,,,7894,,1027864,,768.00,,,,,,2,,1,0
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,16,2019-04-15,2019-04-21,All,11,,114242,,9.63,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,16,2019-04-15,2019-04-21,All,460,,187798,,244.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,16,2019-04-15,2019-04-21,All,13,,268260,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,16,2019-04-15,2019-04-21,All,27,,50809,,53.14,,,,,,,,43,269,,15.99,,6,,,,,,,,,,,,,,,,,2,1,3,1
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,16,2019-04-15,2019-04-21,All,691,,4779287,,14.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,16,2019-04-15,2019-04-21,All,1795,,1017088,,176.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,15,2019-04-08,2019-04-14,All,,,,,,,,,,,,,,,,,,,,,,,,,12726,,1145454,,1111.00,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,15,2019-04-08,2019-04-14,All,11,,251376,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,15,2019-04-08,2019-04-14,All,33,,134494,,24.54,,,,,,,,,,,,,,,,,,,,4314,,1404536,,307.15,,,,,,2,,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,15,2019-04-08,2019-04-14,All,1,,175109,,0.57,,,,,,,,113,995,0,11.36,,24,,,,,,,3485,,2986151,,116.71,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,15,2019-04-08,2019-04-14,All,16,,183124,,8.74,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,15,2019-04-08,2019-04-14,All,634,,207362,,305.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,15,2019-04-08,2019-04-14,All,12,,74960,,16.01,,,,,,,,,,,,,,,,,,,,784,,74960,,1045.89,,,,,,2,,2,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,15,2019-04-08,2019-04-14,All,62,,62020,,99.97,,,,,,,,104,460,,22.61,,19,,,,,,,,,,,,,,,,,2,1,3,1
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,15,2019-04-08,2019-04-14,All,2064,,5261899,,39.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,15,2019-04-08,2019-04-14,All,3127,,1043165,,299.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,15,2019-04-08,2019-04-14,All,420,,2089062,,20.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,14,2019-04-01,2019-04-07,All,0,,175109,,0.00,,,,,,,,102,933,0,10.93,,37,,,,,,,3906,,2986151,,130.80,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,14,2019-04-01,2019-04-07,All,27,,191523,,14.10,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,South West Europe,France,2019,14,2019-04-01,2019-04-07,All,14313,,65018096,,22.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,14,2019-04-01,2019-04-07,All,640,,191088,,334.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,14,2019-04-01,2019-04-07,All,2719,,1075073,,252.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,14,2019-04-01,2019-04-07,All,32,,83063,,38.52,,,,,,,,,,,,,,,,,,,,956,,83063,,1150.93,,,,,,2,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,14,2019-04-01,2019-04-07,All,,,,,,,,,,,,,,,,,,,,,,,,,14922,,1183425,,1260.92,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,14,2019-04-01,2019-04-07,All,36,,61841,,58.21,,,,,,,,84,461,,18.22,,19,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,14,2019-04-01,2019-04-07,All,2465,,5280705,,46.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,14,2019-04-01,2019-04-07,All,28,,269709,,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,14,2019-04-01,2019-04-07,All,48,,136673,,35.12,,,,,,,,,,,,,,,,,,,,4516,,1404818,,321.47,,,,,,4,,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,13,2019-03-25,2019-03-31,All,0,,175109,,0.00,,,,,,,,84,795,0,10.57,,22,,,,,,,4495,,2986151,,150.53,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,13,2019-03-25,2019-03-31,All,51,,48564,,105.02,,,,,,,,83,419,,19.81,,8,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,13,2019-03-25,2019-03-31,All,830,,2089062,,39.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,13,2019-03-25,2019-03-31,All,3061,,5326452,,57.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,13,2019-03-25,2019-03-31,All,43,,78774,,54.59,,,,,,,,,,,,,,,,,,,,810,,78774,,1028.26,,,,,,2,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,13,2019-03-25,2019-03-31,All,,,,,,,,,,,,,,,,,,,,,,,,,14384,,1147129,,1253.91,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,13,2019-03-25,2019-03-31,All,49,,216724,,22.61,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,4,1,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2019,13,2019-03-25,2019-03-31,All,16696,,65018096,,25.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,13,2019-03-25,2019-03-31,All,12,,278370,,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,13,2019-03-25,2019-03-31,All,44,,130498,,33.72,,,,,,,,,,,,,,,,,,,,4562,,1415192,,322.36,,,,,,4,,1,
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,13,2019-03-25,2019-03-31,All,671,,206447,,325.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,13,2019-03-25,2019-03-31,All,3533,,1093202,,323.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,12,2019-03-18,2019-03-24,All,49,,133734,,36.64,,,,,,,,,,,,,,,,,,,,4869,,1415192,,344.05,,,,,,4,,1,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,12,2019-03-18,2019-03-24,All,1,,175109,,0.57,,,,,,,,162,999,0,16.22,,38,,,,,,,4691,,2986151,,157.09,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,12,2019-03-18,2019-03-24,All,90,,228483,,39.39,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,4,1,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2019,12,2019-03-18,2019-03-24,All,22217,,65018096,,34.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,12,2019-03-18,2019-03-24,All,705,,185967,,379.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,12,2019-03-18,2019-03-24,All,30,,280166,,10.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,12,2019-03-18,2019-03-24,All,64,,82356,,77.71,,,,,,,,,,,,,,,,,,,,949,,82356,,1152.31,,,,,,2,,2,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,12,2019-03-18,2019-03-24,All,51,,57841,,88.17,,,,,,,,46,247,,18.62,,21,,,,,,,,,,,,,,,,,3,1,1,1
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,12,2019-03-18,2019-03-24,All,3640,,5343386,,68.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,12,2019-03-18,2019-03-24,All,4211,,1057581,,398.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,12,2019-03-18,2019-03-24,All,,,,,,,,,,,,,,,,,,,,,,,,,15509,,1153943,,1344.00,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,12,2019-03-18,2019-03-24,All,1214,,2089062,,58.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,11,2019-03-11,2019-03-17,All,64,,236883,,27.02,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,South West Europe,France,2019,11,2019-03-11,2019-03-17,All,31550,,65018096,,48.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,11,2019-03-11,2019-03-17,All,690,,169723,,406.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,11,2019-03-11,2019-03-17,All,148,,89298,,165.74,,,,,,,,,,,,,,,,,,,,1096,,89298,,1227.35,,,,,,4,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,11,2019-03-11,2019-03-17,All,,,,,,,,,,,,,,,,,,,,,,,,,17496,,1146592,,1525.91,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,11,2019-03-11,2019-03-17,All,58,,62020,,93.52,,,,,,,,46,247,,18.62,,16,,,,,,,,,,,,,,,,,3,1,1,1
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,11,2019-03-11,2019-03-17,All,4792,,5358459,,89.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,11,2019-03-11,2019-03-17,All,4354,,1046974,,415.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,11,2019-03-11,2019-03-17,All,2,,175109,,1.14,,,,,,,,129,1056,0,12.22,,35,,,,,,,5638,,2986151,,188.80,,,,,,2,1,3,2
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,11,2019-03-11,2019-03-17,All,1540,,2089062,,73.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,11,2019-03-11,2019-03-17,All,35,,241429,,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,11,2019-03-11,2019-03-17,All,78,,136309,,57.22,,,,,,,,,,,,,,,,,,,,5200,,1405273,,370.03,,,,,,4,1,1,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,10,2019-03-04,2019-03-10,All,3,,175109,,1.71,,,,,,,,135,1063,0,12.70,,27,,,,,,,4783,,2986151,,160.17,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,10,2019-03-04,2019-03-10,All,48,,62020,,77.39,,,,,,,,35,245,,14.29,,14,,,,,,,,,,,,,,,,,3,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,10,2019-03-04,2019-03-10,All,2952,,2089062,,141.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,0
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,10,2019-03-04,2019-03-10,All,5836,,5341023,,109.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,10,2019-03-04,2019-03-10,All,251,,85926,,292.11,,,,,,,,,,,,,,,,,,,,1130,,85926,,1315.09,,,,,,4,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,10,2019-03-04,2019-03-10,All,,,,,,,,,,,,,,,,,,,,,,,,,17733,,1145542,,1548.00,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,10,2019-03-04,2019-03-10,All,39,,273024,,14.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,10,2019-03-04,2019-03-10,All,81,,132354,,61.20,,,,,,,,,,,,,,,,,,,,5197,,1407794,,369.16,,,,,,4,1,2,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,10,2019-03-04,2019-03-10,All,114,,206643,,55.17,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,South West Europe,France,2019,10,2019-03-04,2019-03-10,All,49742,,65018096,,76.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,10,2019-03-04,2019-03-10,All,851,,183992,,462.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,10,2019-03-04,2019-03-10,All,3552,,1031355,,344.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,9,2019-02-25,2019-03-03,All,361,,89690,,402.50,,,,,,,,,,,,,,,,,,,,1246,,89690,,1389.23,,,,,,4,1,1,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,9,2019-02-25,2019-03-03,All,3,,175109,,1.71,,,,,,,,137,1137,0,12.05,,41,,,,,,,5909,,2986151,,197.88,,,,,,2,1,2,2
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,9,2019-02-25,2019-03-03,All,172,,257044,,66.91,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,4,1,1,0
Northern hemishere,Europe,EUR,South West Europe,France,2019,9,2019-02-25,2019-03-03,All,88354,,65018096,,135.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,2
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,9,2019-02-25,2019-03-03,All,41,,282659,,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,
