"country","agerange","min_age","max_age","sex","av_los","hosp_reason","icd10","reference_year","reference"
"pl","Y_LT1",0,0,"M",6.4,"all rt","J",2018,"eurostat"
"pl","Y_LT1",0,0,"M",3.6,"urti/inf","J00-J11",2018,"eurostat"
"pl","Y_LT1",0,0,"M",7.5,"pneumonia","J12-J18",2018,"eurostat"
"pl","Y_LT1",0,0,"M",5.7,"other lrti","J20-J22",2018,"eurostat"
"ro","Y_LT1",0,0,"F",5.3,"all rt","J",2018,"eurostat"
"ro","Y_LT1",0,0,"F",3.8,"urti/inf","J00-J11",2018,"eurostat"
"ro","Y_LT1",0,0,"F",6.1,"pneumonia","J12-J18",2018,"eurostat"
"ro","Y_LT1",0,0,"F",5.3,"other lrti","J20-J22",2018,"eurostat"
"ro","Y_LT1",0,0,"M",5.4,"all rt","J",2018,"eurostat"
"ro","Y_LT1",0,0,"M",3.8,"urti/inf","J00-J11",2018,"eurostat"
"ro","Y_LT1",0,0,"M",6.1,"pneumonia","J12-J18",2018,"eurostat"
"ro","Y_LT1",0,0,"M",5.4,"other lrti","J20-J22",2018,"eurostat"
"se","Y_LT1",0,0,"F",3.6,"all rt","J",2018,"eurostat"
"se","Y_LT1",0,0,"F",2.3,"urti/inf","J00-J11",2018,"eurostat"
"se","Y_LT1",0,0,"F",4.5,"pneumonia","J12-J18",2018,"eurostat"
"se","Y_LT1",0,0,"F",3.9,"other lrti","J20-J22",2018,"eurostat"
"se","Y_LT1",0,0,"M",3.5,"all rt","J",2018,"eurostat"
"se","Y_LT1",0,0,"M",2.3,"urti/inf","J00-J11",2018,"eurostat"
"se","Y_LT1",0,0,"M",4.8,"pneumonia","J12-J18",2018,"eurostat"
"se","Y_LT1",0,0,"M",3.8,"other lrti","J20-J22",2018,"eurostat"
"si","Y_LT1",0,0,"F",3.5,"all rt","J",2018,"eurostat"
"si","Y_LT1",0,0,"F",2,"urti/inf","J00-J11",2018,"eurostat"
"si","Y_LT1",0,0,"F",4.5,"pneumonia","J12-J18",2018,"eurostat"
"si","Y_LT1",0,0,"F",4,"other lrti","J20-J22",2018,"eurostat"
"si","Y_LT1",0,0,"M",3.6,"all rt","J",2018,"eurostat"
"si","Y_LT1",0,0,"M",2.2,"urti/inf","J00-J11",2018,"eurostat"
"si","Y_LT1",0,0,"M",6.9,"pneumonia","J12-J18",2018,"eurostat"
"si","Y_LT1",0,0,"M",3.9,"other lrti","J20-J22",2018,"eurostat"
"sk","Y_LT1",0,0,"F",6.2,"all rt","J",2018,"eurostat"
"sk","Y_LT1",0,0,"F",4,"urti/inf","J00-J11",2018,"eurostat"
"sk","Y_LT1",0,0,"F",7.4,"pneumonia","J12-J18",2018,"eurostat"
"sk","Y_LT1",0,0,"F",6,"other lrti","J20-J22",2018,"eurostat"
"sk","Y_LT1",0,0,"M",6.3,"all rt","J",2018,"eurostat"
"sk","Y_LT1",0,0,"M",3.8,"urti/inf","J00-J11",2018,"eurostat"
"sk","Y_LT1",0,0,"M",7.5,"pneumonia","J12-J18",2018,"eurostat"
"sk","Y_LT1",0,0,"M",6.1,"other lrti","J20-J22",2018,"eurostat"
"at","Y_LT1",0,0,"F",3.8,"all rt","J",2018,"eurostat"
"at","Y_LT1",0,0,"F",2.7,"urti/inf","J00-J11",2018,"eurostat"
"at","Y_LT1",0,0,"F",6.3,"pneumonia","J12-J18",2018,"eurostat"
"at","Y_LT1",0,0,"F",4.2,"other lrti","J20-J22",2018,"eurostat"
"at","Y_LT1",0,0,"M",3.7,"all rt","J",2018,"eurostat"
"at","Y_LT1",0,0,"M",2.6,"urti/inf","J00-J11",2018,"eurostat"
"at","Y_LT1",0,0,"M",5.3,"pneumonia","J12-J18",2018,"eurostat"
"at","Y_LT1",0,0,"M",4.1,"other lrti","J20-J22",2018,"eurostat"
"ie","Y_LT1",0,0,"F",3.5,"all rt","J",2018,"eurostat"
"ie","Y_LT1",0,0,"F",1.8,"urti/inf","J00-J11",2018,"eurostat"
"ie","Y_LT1",0,0,"F",7.3,"pneumonia","J12-J18",2018,"eurostat"
"ie","Y_LT1",0,0,"F",3.8,"other lrti","J20-J22",2018,"eurostat"
"ie","Y_LT1",0,0,"M",3.3,"all rt","J",2018,"eurostat"
"ie","Y_LT1",0,0,"M",1.7,"urti/inf","J00-J11",2018,"eurostat"
"ie","Y_LT1",0,0,"M",7.8,"pneumonia","J12-J18",2018,"eurostat"
"ie","Y_LT1",0,0,"M",3.6,"other lrti","J20-J22",2018,"eurostat"
"lt","Y_LT1",0,0,"F",4.7,"all rt","J",2018,"eurostat"
"lt","Y_LT1",0,0,"F",3.5,"urti/inf","J00-J11",2018,"eurostat"
"lt","Y_LT1",0,0,"F",7.1,"pneumonia","J12-J18",2018,"eurostat"
"lt","Y_LT1",0,0,"F",5.3,"other lrti","J20-J22",2018,"eurostat"
"lt","Y_LT1",0,0,"M",4.8,"all rt","J",2018,"eurostat"
"lt","Y_LT1",0,0,"M",3.6,"urti/inf","J00-J11",2018,"eurostat"
"lt","Y_LT1",0,0,"M",7,"pneumonia","J12-J18",2018,"eurostat"
"lt","Y_LT1",0,0,"M",5.4,"other lrti","J20-J22",2018,"eurostat"
"lv","Y_LT1",0,0,"F",4.7,"all rt","J",2018,"eurostat"
"lv","Y_LT1",0,0,"F",3.3,"urti/inf","J00-J11",2018,"eurostat"
"lv","Y_LT1",0,0,"F",6.4,"pneumonia","J12-J18",2018,"eurostat"
"lv","Y_LT1",0,0,"F",5.8,"other lrti","J20-J22",2018,"eurostat"
"lv","Y_LT1",0,0,"M",4.6,"all rt","J",2018,"eurostat"
"lv","Y_LT1",0,0,"M",3.2,"urti/inf","J00-J11",2018,"eurostat"
"lv","Y_LT1",0,0,"M",6.8,"pneumonia","J12-J18",2018,"eurostat"
"lv","Y_LT1",0,0,"M",5.4,"other lrti","J20-J22",2018,"eurostat"
"rs","Y_LT1",0,0,"F",6.1,"all rt","J",2018,"eurostat"
"rs","Y_LT1",0,0,"F",4.4,"urti/inf","J00-J11",2018,"eurostat"
"rs","Y_LT1",0,0,"F",7.5,"pneumonia","J12-J18",2018,"eurostat"
"rs","Y_LT1",0,0,"F",6.1,"other lrti","J20-J22",2018,"eurostat"
"rs","Y_LT1",0,0,"M",6.2,"all rt","J",2018,"eurostat"
"rs","Y_LT1",0,0,"M",4.2,"urti/inf","J00-J11",2018,"eurostat"
"rs","Y_LT1",0,0,"M",8.4,"pneumonia","J12-J18",2018,"eurostat"
"rs","Y_LT1",0,0,"M",6,"other lrti","J20-J22",2018,"eurostat"
"de","Y_LT1",0,0,"F",4.3,"all rt","J",2017,"eurostat"
"de","Y_LT1",0,0,"F",2.5,"urti/inf","J00-J11",2017,"eurostat"
"de","Y_LT1",0,0,"F",6.5,"pneumonia","J12-J18",2017,"eurostat"
"de","Y_LT1",0,0,"F",4.2,"other lrti","J20-J22",2017,"eurostat"
"de","Y_LT1",0,0,"M",4.2,"all rt","J",2017,"eurostat"
"de","Y_LT1",0,0,"M",2.6,"urti/inf","J00-J11",2017,"eurostat"
"de","Y_LT1",0,0,"M",6.4,"pneumonia","J12-J18",2017,"eurostat"
"de","Y_LT1",0,0,"M",4,"other lrti","J20-J22",2017,"eurostat"
"is","Y_LT1",0,0,"F",3.2,"all rt","J",2017,"eurostat"
"is","Y_LT1",0,0,"F",2.2,"urti/inf","J00-J11",2017,"eurostat"
"is","Y_LT1",0,0,"F",3.8,"pneumonia","J12-J18",2017,"eurostat"
"is","Y_LT1",0,0,"F",3.5,"other lrti","J20-J22",2017,"eurostat"
"is","Y_LT1",0,0,"M",2,"all rt","J",2017,"eurostat"
"is","Y_LT1",0,0,"M",1.3,"urti/inf","J00-J11",2017,"eurostat"
"is","Y_LT1",0,0,"M",1.7,"pneumonia","J12-J18",2017,"eurostat"
"is","Y_LT1",0,0,"M",2.3,"other lrti","J20-J22",2017,"eurostat"
"mt","Y_LT1",0,0,"F",2.7,"all rt","J",2017,"eurostat"
"mt","Y_LT1",0,0,"F",1.9,"urti/inf","J00-J11",2017,"eurostat"
"mt","Y_LT1",0,0,"F",5.5,"pneumonia","J12-J18",2017,"eurostat"
"mt","Y_LT1",0,0,"F",3.5,"other lrti","J20-J22",2017,"eurostat"
"mt","Y_LT1",0,0,"M",2.9,"all rt","J",2017,"eurostat"
"mt","Y_LT1",0,0,"M",1.6,"urti/inf","J00-J11",2017,"eurostat"
"mt","Y_LT1",0,0,"M",3,"pneumonia","J12-J18",2017,"eurostat"
"mt","Y_LT1",0,0,"M",4.2,"other lrti","J20-J22",2017,"eurostat"
"dk","Y_LT1",0,0,"F",3.1,"all rt","J",2016,"eurostat"
"dk","Y_LT1",0,0,"F",1.5,"urti/inf","J00-J11",2016,"eurostat"
"dk","Y_LT1",0,0,"F",4.1,"pneumonia","J12-J18",2016,"eurostat"
"dk","Y_LT1",0,0,"F",3.2,"other lrti","J20-J22",2016,"eurostat"
"dk","Y_LT1",0,0,"M",3.3,"all rt","J",2016,"eurostat"
"dk","Y_LT1",0,0,"M",1.5,"urti/inf","J00-J11",2016,"eurostat"
"dk","Y_LT1",0,0,"M",3.6,"pneumonia","J12-J18",2016,"eurostat"
"dk","Y_LT1",0,0,"M",2.9,"other lrti","J20-J22",2016,"eurostat"
"tr","Y_LT1",0,0,"F",6,"all rt","J",2015,"eurostat"
"tr","Y_LT1",0,0,"F",3.5,"urti/inf","J00-J11",2015,"eurostat"
"tr","Y_LT1",0,0,"F",6.4,"pneumonia","J12-J18",2015,"eurostat"
"tr","Y_LT1",0,0,"F",4.9,"other lrti","J20-J22",2015,"eurostat"
"tr","Y_LT1",0,0,"M",5.2,"all rt","J",2015,"eurostat"
"tr","Y_LT1",0,0,"M",3.6,"urti/inf","J00-J11",2015,"eurostat"
"tr","Y_LT1",0,0,"M",6.5,"pneumonia","J12-J18",2015,"eurostat"
"tr","Y_LT1",0,0,"M",4.9,"other lrti","J20-J22",2015,"eurostat"
"gb","Y_LT1",0,0,"F",2.8,"all rt","J",2016,"eurostat"
"gb","Y_LT1",0,0,"F",1.4,"urti/inf","J00-J11",2016,"eurostat"
"gb","Y_LT1",0,0,"F",4.8,"pneumonia","J12-J18",2016,"eurostat"
"gb","Y_LT1",0,0,"F",2.8,"other lrti","J20-J22",2016,"eurostat"
"gb","Y_LT1",0,0,"M",2.7,"all rt","J",2016,"eurostat"
"gb","Y_LT1",0,0,"M",1.4,"urti/inf","J00-J11",2016,"eurostat"
"gb","Y_LT1",0,0,"M",4.7,"pneumonia","J12-J18",2016,"eurostat"
"gb","Y_LT1",0,0,"M",2.7,"other lrti","J20-J22",2016,"eurostat"
"lu","Y_LT1",0,0,"F",4.4,"all rt","J",2016,"eurostat"
"lu","Y_LT1",0,0,"F",1.7,"urti/inf","J00-J11",2016,"eurostat"
"lu","Y_LT1",0,0,"F",4,"pneumonia","J12-J18",2016,"eurostat"
"lu","Y_LT1",0,0,"F",5.4,"other lrti","J20-J22",2016,"eurostat"
"lu","Y_LT1",0,0,"M",4.8,"all rt","J",2016,"eurostat"
"lu","Y_LT1",0,0,"M",2.4,"urti/inf","J00-J11",2016,"eurostat"
"lu","Y_LT1",0,0,"M",8.6,"pneumonia","J12-J18",2016,"eurostat"
"lu","Y_LT1",0,0,"M",5.7,"other lrti","J20-J22",2016,"eurostat"
"pt","Y_LT1",0,0,"F",5.5,"all rt","J",2015,"eurostat"
"pt","Y_LT1",0,0,"F",4.9,"urti/inf","J00-J11",2015,"eurostat"
"pt","Y_LT1",0,0,"F",6.9,"pneumonia","J12-J18",2015,"eurostat"
"pt","Y_LT1",0,0,"F",5.2,"other lrti","J20-J22",2015,"eurostat"
"pt","Y_LT1",0,0,"M",5.4,"all rt","J",2015,"eurostat"
"pt","Y_LT1",0,0,"M",4.1,"urti/inf","J00-J11",2015,"eurostat"
"pt","Y_LT1",0,0,"M",7.2,"pneumonia","J12-J18",2015,"eurostat"
"pt","Y_LT1",0,0,"M",5.2,"other lrti","J20-J22",2015,"eurostat"
"be","Y1-4",1,4,"F",3.1,"all rt","J",2018,"eurostat"
"be","Y1-4",1,4,"F",2.7,"urti/inf","J00-J11",2018,"eurostat"
"be","Y1-4",1,4,"F",4,"pneumonia","J12-J18",2018,"eurostat"
"be","Y1-4",1,4,"F",3.2,"other lrti","J20-J22",2018,"eurostat"
"be","Y1-4",1,4,"M",2.9,"all rt","J",2018,"eurostat"
"be","Y1-4",1,4,"M",2.6,"urti/inf","J00-J11",2018,"eurostat"
"be","Y1-4",1,4,"M",3.8,"pneumonia","J12-J18",2018,"eurostat"
"be","Y1-4",1,4,"M",3,"other lrti","J20-J22",2018,"eurostat"
"ch","Y1-4",1,4,"F",2.8,"all rt","J",2018,"eurostat"
"ch","Y1-4",1,4,"F",2.5,"urti/inf","J00-J11",2018,"eurostat"
"ch","Y1-4",1,4,"F",4.1,"pneumonia","J12-J18",2018,"eurostat"
"ch","Y1-4",1,4,"F",2.5,"other lrti","J20-J22",2018,"eurostat"
"ch","Y1-4",1,4,"M",2.6,"all rt","J",2018,"eurostat"
"ch","Y1-4",1,4,"M",2.1,"urti/inf","J00-J11",2018,"eurostat"
"ch","Y1-4",1,4,"M",4.3,"pneumonia","J12-J18",2018,"eurostat"
"ch","Y1-4",1,4,"M",2.3,"other lrti","J20-J22",2018,"eurostat"
"cy","Y1-4",1,4,"F",3.1,"all rt","J",2018,"eurostat"
"cy","Y1-4",1,4,"F",2.6,"urti/inf","J00-J11",2018,"eurostat"
"cy","Y1-4",1,4,"F",4.6,"pneumonia","J12-J18",2018,"eurostat"
"cy","Y1-4",1,4,"F",3.4,"other lrti","J20-J22",2018,"eurostat"
"cy","Y1-4",1,4,"M",3.1,"all rt","J",2018,"eurostat"
"cy","Y1-4",1,4,"M",2.6,"urti/inf","J00-J11",2018,"eurostat"
"cy","Y1-4",1,4,"M",5.7,"pneumonia","J12-J18",2018,"eurostat"
"cy","Y1-4",1,4,"M",3.1,"other lrti","J20-J22",2018,"eurostat"
"cz","Y1-4",1,4,"F",4.4,"all rt","J",2018,"eurostat"
"cz","Y1-4",1,4,"F",3.5,"urti/inf","J00-J11",2018,"eurostat"
"cz","Y1-4",1,4,"F",5.4,"pneumonia","J12-J18",2018,"eurostat"
"cz","Y1-4",1,4,"F",6.4,"other lrti","J20-J22",2018,"eurostat"
"cz","Y1-4",1,4,"M",4.3,"all rt","J",2018,"eurostat"
"cz","Y1-4",1,4,"M",3.3,"urti/inf","J00-J11",2018,"eurostat"
"cz","Y1-4",1,4,"M",5.1,"pneumonia","J12-J18",2018,"eurostat"
"cz","Y1-4",1,4,"M",5.6,"other lrti","J20-J22",2018,"eurostat"
"es","Y1-4",1,4,"F",3.2,"all rt","J",2018,"eurostat"
"es","Y1-4",1,4,"F",3.4,"urti/inf","J00-J11",2018,"eurostat"
"es","Y1-4",1,4,"F",4.5,"pneumonia","J12-J18",2018,"eurostat"
"es","Y1-4",1,4,"F",3.3,"other lrti","J20-J22",2018,"eurostat"
"es","Y1-4",1,4,"M",3.1,"all rt","J",2018,"eurostat"
"es","Y1-4",1,4,"M",3.2,"urti/inf","J00-J11",2018,"eurostat"
"es","Y1-4",1,4,"M",4.3,"pneumonia","J12-J18",2018,"eurostat"
"es","Y1-4",1,4,"M",3.2,"other lrti","J20-J22",2018,"eurostat"
"fi","Y1-4",1,4,"F",2.4,"all rt","J",2018,"eurostat"
"fi","Y1-4",1,4,"F",2,"urti/inf","J00-J11",2018,"eurostat"
"fi","Y1-4",1,4,"F",3.4,"pneumonia","J12-J18",2018,"eurostat"
"fi","Y1-4",1,4,"F",1.9,"other lrti","J20-J22",2018,"eurostat"
"fi","Y1-4",1,4,"M",2.3,"all rt","J",2018,"eurostat"
"fi","Y1-4",1,4,"M",1.9,"urti/inf","J00-J11",2018,"eurostat"
"fi","Y1-4",1,4,"M",2.9,"pneumonia","J12-J18",2018,"eurostat"
"fi","Y1-4",1,4,"M",1.7,"other lrti","J20-J22",2018,"eurostat"
"fr","Y1-4",1,4,"F",2.4,"all rt","J",2018,"eurostat"
"fr","Y1-4",1,4,"F",2.2,"urti/inf","J00-J11",2018,"eurostat"
"fr","Y1-4",1,4,"F",3.2,"pneumonia","J12-J18",2018,"eurostat"
"fr","Y1-4",1,4,"F",2.8,"other lrti","J20-J22",2018,"eurostat"
"fr","Y1-4",1,4,"M",2.2,"all rt","J",2018,"eurostat"
"fr","Y1-4",1,4,"M",2.1,"urti/inf","J00-J11",2018,"eurostat"
"fr","Y1-4",1,4,"M",3.3,"pneumonia","J12-J18",2018,"eurostat"
"fr","Y1-4",1,4,"M",2.5,"other lrti","J20-J22",2018,"eurostat"
"hr","Y1-4",1,4,"F",4.4,"all rt","J",2018,"eurostat"
"hr","Y1-4",1,4,"F",3.8,"urti/inf","J00-J11",2018,"eurostat"
"hr","Y1-4",1,4,"F",5.1,"pneumonia","J12-J18",2018,"eurostat"
"hr","Y1-4",1,4,"F",3.9,"other lrti","J20-J22",2018,"eurostat"
"hr","Y1-4",1,4,"M",4.1,"all rt","J",2018,"eurostat"
"hr","Y1-4",1,4,"M",3.9,"urti/inf","J00-J11",2018,"eurostat"
"hr","Y1-4",1,4,"M",5,"pneumonia","J12-J18",2018,"eurostat"
"hr","Y1-4",1,4,"M",3.8,"other lrti","J20-J22",2018,"eurostat"
"hu","Y1-4",1,4,"F",3.4,"all rt","J",2018,"eurostat"
"hu","Y1-4",1,4,"F",2.1,"urti/inf","J00-J11",2018,"eurostat"
"hu","Y1-4",1,4,"F",4.8,"pneumonia","J12-J18",2018,"eurostat"
"hu","Y1-4",1,4,"F",3.7,"other lrti","J20-J22",2018,"eurostat"
"hu","Y1-4",1,4,"M",3.2,"all rt","J",2018,"eurostat"
"hu","Y1-4",1,4,"M",2.2,"urti/inf","J00-J11",2018,"eurostat"
"hu","Y1-4",1,4,"M",5.1,"pneumonia","J12-J18",2018,"eurostat"
"hu","Y1-4",1,4,"M",3.6,"other lrti","J20-J22",2018,"eurostat"
"it","Y1-4",1,4,"F",4.2,"all rt","J",2018,"eurostat"
"it","Y1-4",1,4,"F",3.7,"urti/inf","J00-J11",2018,"eurostat"
"it","Y1-4",1,4,"F",4.9,"pneumonia","J12-J18",2018,"eurostat"
"it","Y1-4",1,4,"F",4.1,"other lrti","J20-J22",2018,"eurostat"
"it","Y1-4",1,4,"M",3.9,"all rt","J",2018,"eurostat"
"it","Y1-4",1,4,"M",3.6,"urti/inf","J00-J11",2018,"eurostat"
"it","Y1-4",1,4,"M",4.9,"pneumonia","J12-J18",2018,"eurostat"
"it","Y1-4",1,4,"M",4.1,"other lrti","J20-J22",2018,"eurostat"
"nl","Y1-4",1,4,"F",3.1,"all rt","J",2018,"eurostat"
"nl","Y1-4",1,4,"F",2.4,"urti/inf","J00-J11",2018,"eurostat"
"nl","Y1-4",1,4,"F",3.6,"pneumonia","J12-J18",2018,"eurostat"
"nl","Y1-4",1,4,"F",4,"other lrti","J20-J22",2018,"eurostat"
"nl","Y1-4",1,4,"M",2.8,"all rt","J",2018,"eurostat"
"nl","Y1-4",1,4,"M",2.2,"urti/inf","J00-J11",2018,"eurostat"
"nl","Y1-4",1,4,"M",3.1,"pneumonia","J12-J18",2018,"eurostat"
